movie_id,title,overview,language,rating,genres,keywords,is_regional
28,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",en,8.3,"['Drama', 'War']","['guerrilla warfare', 'vietnam war', 'journalist', 'mission', 'vietnam', 'vietcong', 'central intelligence agency (cia)', 'cambodia', 'army', 'drug abuse', 'based on novel or book', 'secret mission', 'insanity', 'surrealism', 'tribe', 'green beret', 'jungle', 'descent into madness', 'brutality', 'riverboat', 'military', 'macabre', 'anti war', 'absurd', 'awestruck', 'distressing']",
339846,Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",en,6.085,"['Comedy', 'Action', 'Crime']","['drug dealer', 'sea', 'beach', 'life-saver', 'lifeguard', 'rookie', 'vigilantism']",
929590,Civil War,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",en,6.851,"['War', 'Action', 'Drama']","['sniper', 'new york city', 'race against time', 'washington dc, usa', 'the white house', 'civil war', 'post-traumatic stress disorder (ptsd)', 'war crimes', 'photographer', 'militia', 'journalism', 'dystopia', 'war photographer', 'road trip', 'president', 'female protagonist', 'soldier', 'fictional war', 'photojournalism', 'xenophobia', 'secession', 'assassination of president', 'secessionists', 'suicide bombing', 'usa politics', 'war trauma', 'mass grave', 'war journalism', 'charlottesville', 'near future', 'violence', 'distressing', 'pretentious']",
346,Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",ja,8.451,"['Action', 'Drama']","['martial arts', 'japan', 'samurai', 'sword', 'peasant', 'village', 'looting', 'rice', 'fencing', 'moral ambiguity', 'forbidden love', 'black and white', 'battle', 'bandit', 'practice', 'farmer', 'jidaigeki', '16th century', 'class relations', 'collectivism', 'plunder', 'downtrodden farmers', 'bushi', 'tactical warfare', 'violence', 'excited', 'violent']",
801335,Girl in the Basement,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",en,7.582,"['Thriller', 'Crime', 'TV Movie']","['imprisonment', 'based on true story', 'basement', 'controlling parent']",
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",ja,8.2,"['Animation', 'Action', 'Fantasy']","['fight', 'magic', 'supernatural', 'psychology', 'gore', 'sequel', 'coming of age', 'survival', 'tragedy', 'based on manga', 'demon', 'historical', 'family', 'mutilation', 'dark fantasy', 'shounen', 'anime', 'taisho period']",
646315,The Legendary Lighter,A man who used to be called Lighter cleans up his act from his days as a gangster and struggles to start over.,ko,6.0,['Action'],"['fighting', 'action hero']",
1439660,Fukushima: A Nuclear Nightmare,The definitive account of Japan’s struggle as it faced a nuclear catastrophe while still reeling from the devastation of an earthquake and tsunami.,en,6.767,"['Documentary', 'Drama', 'History']","['nuclear radiation', 'interview', 'historical event', 'nuclear accidents', 'nuclear catastrophe', 'nuclear reactor', 'fukushima disaster (2011)', 'nuclear disaster', 'field work', 'testimonies']",
936621,Sex Game 6969,"Three married women had always been dissatisfied sexually with their husbands, and Hyoji, who recently divorced due to her husband's erectile dysfunction. They gathered after a long time and had a drink complaining to each other, and they received a business card from an unidentified handsome man, saying, ""Don't you want to play tteok pounding game?"" The four of them head to the meeting place and meet suspicious agents who were waiting for them.",ko,6.3,"['Comedy', 'Drama', 'Romance']",['softcore'],
539420,A Portuguese Film,"A documentary about the world of portuguese cinema, with interviews with some critics and directors.",en,0.0,['Documentary'],"['portugal', 'interview', 'portuguese cinema']",
348893,Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude.",en,7.2,"['Action', 'Drama', 'Thriller', 'Crime']","['prison', 'sports', 'wife', 'affectation', 'sequel', 'accidental death', 'fighting', 'hostile', 'critical', 'intense', 'ambivalent', 'antagonistic', 'appreciative', 'assertive', 'authoritarian', 'complicated', 'conceited', 'defiant', 'disheartening', 'earnest', 'empathetic', 'excited', 'gentle']",
168259,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,en,7.219,"['Action', 'Crime', 'Thriller']","['car race', 'speed', 'street race', 'revenge', 'race', 'cars', 'suspenseful', 'admiring', 'excited']",
667538,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",en,7.181,"['Science Fiction', 'Adventure', 'Action']","['peru', 'alien', 'end of the world', 'based on toy', 'giant robot', 'robot', 'duringcreditsstinger', '1990s', 'brother brother relationship', 'admiring']",
1254808,Nouvelle Vague,"After writing for Cahiers du cinéma, a young Jean-Luc Godard decides making films is the best film criticism. He convinces producer Georges de Beauregard to fund a low-budget feature, and creates a treatment with fellow New Wave filmmaker François Truffaut about a gangster couple. The result? Breathless, one of the first features of the Nouvelle Vague era of French cinema.",fr,7.357,"['Comedy', 'Drama', 'History']","['based on true story', 'filmmaking', 'french new wave']",
802779,The Haunting of Pluckley Village,The story focuses on the most haunted village in the world.,en,0.0,['Horror'],"['village', 'haunted house']",
1035048,Elevation,"Post-apocalyptic survivors find refuge in the Rocky Mountains to hide from giant, insect-like creatures that can't live above 8,000 feet. However, when one of them needs life-saving supplies, they risk it all to venture into the danger zone.",en,6.421,"['Action', 'Science Fiction', 'Thriller']","['mine', 'colorado', 'alien', 'hospital', 'alien invasion', 'ski lift', 'abandoned mine', 'monsters', 'mountains']",
1579,Apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",en,7.596,"['Action', 'Drama', 'History']","['loss of loved one', 'maya civilization', 'village', 'solar eclipse', 'affectation', 'slavery', 'tribe', 'native american', 'forest', 'human sacrifice', 'eclipse', 'central america', 'ancient civilization', 'angry', 'aggressive', '16th century', 'candid', 'maya temple', 'ancient language film', 'absurd', 'dramatic', 'critical', 'admiring', 'adoring', 'ambiguous', 'ambivalent', 'approving', 'assertive', 'audacious', 'authoritarian', 'awestruck', 'baffled', 'celebratory', 'commanding', 'defiant', 'earnest', 'empathetic', 'enchant', 'veneno', 'ameríndio', 'maias', 'século xvi']",
1271,300,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",en,7.194,"['Action', 'Adventure', 'War']","['army', 'narration', 'gore', 'based on true story', 'based on comic', 'sword fight', 'massacre', 'ancient world', 'based on graphic novel', 'ancient greece', 'warrior', 'somber', 'ancient warfare', 'sparta greece', '5th century bc', 'war', 'serious', 'bloody death', 'stern', 'sparta', 'dramatic', 'spartans', 'battle of thermopylae', 'god king', 'battle axe', 'amused', 'audacious', 'dignified', 'earnest']",
1579,Apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",en,7.597,"['Action', 'Drama', 'History']","['loss of loved one', 'maya civilization', 'village', 'solar eclipse', 'affectation', 'slavery', 'tribe', 'native american', 'forest', 'human sacrifice', 'eclipse', 'central america', 'ancient civilization', 'angry', 'aggressive', '16th century', 'candid', 'maya temple', 'ancient language film', 'absurd', 'dramatic', 'critical', 'admiring', 'adoring', 'ambiguous', 'ambivalent', 'approving', 'assertive', 'audacious', 'authoritarian', 'awestruck', 'baffled', 'celebratory', 'commanding', 'defiant', 'earnest', 'empathetic', 'enchant', 'veneno', 'ameríndio', 'maias', 'século xvi']",
1358491,Yoroï,"After a gruelling final tour, Aurélien decides to settle in Japan with his wife Nanako, who is pregnant with their first child. As the young couple move into a traditional house in the Japanese countryside, Aurélien discovers an ancient suit of armour in a well, which is about to awaken strange creatures known as Yokaïs.",fr,6.279,"['Adventure', 'Fantasy']","['japan', 'armor', 'supernatural', 'yokai']",
1337411,Obsesyon,"A middle-aged woman becomes obsessed with a student, who has a crush on her stepdaughter. Every time the young man becomes intimate with the daughter, the woman fantasizes that she is with him.",tl,7.0,"['Drama', 'Romance']","['thriller', 'sexy']",
